ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates
MX-0060;small_airport;Macho Bayo Airstrip;7956;NA;MX;MX-DUR;Otaez;;;MBY;"-106.2206; 24.7462"
MX-0061;small_airport;Moralar Airstrip;166;NA;MX;MX-VER;San Juan Evangelista;;;MRR;"-94.9098; 17.6321"
MX-0062;closed;Rancho Medio Kilo Airport;6202;NA;MX;MX-AGU;Jesus Gomez Portugal de San Francisco de Los Romos;;;RMK;"-102.2673; 21.9998"
MX-0063;small_airport;San Luis Airport;65;NA;MX;MX-BCN;Mexicali;;;SUI;"-115.146; 32.4993"
MX-0064;small_airport;Vizcaino Airport;249;NA;MX;MX-BCS;Mulege;;;VZM;"-113.2892; 27.464"
MX-0065;closed;La Joya Airport;3681;NA;MX;MX-COA;TorreÃ³n;;;;"-103.348; 25.5353"
MX-0066;small_airport;Pista de Jalpan;2343;NA;MX;MX-QUE;Queretaro;;;JPN;"-99.4802; 21.2509"
MX-0067;small_airport;Jazmines de Coyultita Airstrip;3480;NA;MX;MX-NAY;El Nayar;;;JCN;"-104.648; 22.0022"
MX-0068;small_airport;El JaneÃ±o Airstrip;2000;NA;MX;MX-SON;Altar;;;JNN;"-111.9748; 31.1508"
MX-0069;small_airport;Hernandez Ranch Airstrip;7026;NA;MX;MX-MIC;Tancitaro;;;HRH;"-102.3274; 19.3293"
